organization,domain,job_title,job_url,location,remote_status,search_term,relevance_category,notes,date_checked
Child Trends Federal,childtrends.org,Research Scholar/Sr. Research Scholar,https://www.childtrends.org/careers/job-openings,Location is flexible,Remote,research,program evaluation,Senior level researcher role in Education department - remote eligible,2026-06-22
City of Hope,cityofhope.org,Post-doctoral Fellow - Applied AI and Data Science,https://www.cityofhopejobs.org/job/11013,United States,Remote,research,research scientist,Clinical research postdoc in applied AI and data science,2026-06-22
City of Hope,cityofhope.org,Senior Data Scientist,https://www.cityofhopejobs.org/job/9899,United States,Remote,data scientist,data science,Remote senior data scientist role,2026-06-22
City of Hope,cityofhope.org,Project Manager - Health Innovation & Policy,https://www.cityofhopejobs.org/job/10909,United States,Remote,public health,public health,BS+ in Public Health or Health Administration,2026-06-22
City of Hope,cityofhope.org,Cancer Registrar,https://www.cityofhopejobs.org/job/11251,United States,Remote,research,epidemiology,Cancer registry role in research department,2026-06-22
Clarivate (DRG),clarivate.com,Senior Consultant Healthcare Consulting - Epidemiology,https://careers.clarivate.com,United States,Remote,HEOR,HEOR,Epidemiology and HEOR consulting role found via careers search,2026-06-22
Cityblock Health,cityblock.com,Director of Data Analytics,https://cityblock.com/careers,United States,Remote,data scientist,healthcare analytics,5+ years analytics experience required,2026-06-22
Cityblock Health,cityblock.com,Manager Healthcare Analytics,https://cityblock.com/careers,United States,Remote,data scientist,healthcare analytics,MS degree and 5+ years advanced analytics,2026-06-22
Cityblock Health,cityblock.com,Senior Data Analyst - Clinical,https://cityblock.com/careers,United States,Remote,research,healthcare analytics,Clinical data analytics role,2026-06-22
Cityblock Health,cityblock.com,Senior Data Analyst - Quality Analytics,https://cityblock.com/careers,United States,Remote,public health,healthcare analytics,BS/MS in Epidemiology or Public Health,2026-06-22
