organization,visible URL,domain,organization type,specialty,confidence,notes
Applied Research Institute,https://www.theari.us,theari.us,Applied Research,Action research addressing real-world problems,High,Nonprofit applied research institute; appeared across multiple result pages
Research Evaluation Consulting,https://researchevaluationconsulting.com,researchevaluationconsulting.com,Program Evaluation,"Program evaluation, impact studies, training effectiveness",High,Colorado-based evaluation consulting firm
APPRISE,https://www.appriseinc.org,appriseinc.org,Policy Research,Public policy research and data collection and analysis,High,Applied Public Policy Research Institute for Study and Evaluation
Rural Policy Research Institute,https://rupri.org,rupri.org,Policy Research,"Rural policy, nonpartisan research on rural challenges",High,National rural policy research organization
Foreign Policy Research Institute,https://www.fpri.org,fpri.org,Policy Research,Foreign policy and national security,High,American think tank based in Philadelphia
Texas A&M Public Policy Research Institute,https://ppri.tamu.edu,ppri.tamu.edu,Policy Research,Interdisciplinary research organization and evaluation services,High,University-affiliated policy research institute
Purdue Policy Research Institute,https://ppri.research.purdue.edu,ppri.research.purdue.edu,Policy Research,Interdisciplinary research centers at Purdue University,High,University-affiliated policy research institute
International Food Policy Research Institute,https://www.ifpri.org,ifpri.org,Policy Research,Food policy research and poverty reduction,High,International agricultural and food policy research institute established 1975
James Bell Associates,https://www.jbassoc.com,jbassoc.com,Program Evaluation,Children and youth behavioral health program evaluation,High,Applied research and evaluation consulting firm
Innovative Learning Center,https://ilearningcenter.education/evaluation-services,ilearningcenter.education,Program Evaluation,Evaluation consulting for federally funded programs and STEM initiatives,High,Education-focused evaluation services organization
Rae Consult,https://rae-consult.com,rae-consult.com,Program Evaluation,"External evaluation for education, training, and credentialing programs",High,Dedicated research evaluation consulting firm
Pacific AIDS Network,https://pacificaids.ca,pacificaids.ca,Program Evaluation,Research and evaluation consulting for health delivery system reforms,High,Community-based health research and evaluation organization
Nevada Policy Research Institute,https://www.npri.org,npri.org,Policy Research,Nevada public policy research,High,State-focused policy research institute
Maine Education Policy Research Institute,https://mepri.maine.edu,mepri.maine.edu,Policy Research,Non-partisan education policy research for policymakers,High,University of Maine-affiliated education policy institute
Border Policy Research Institute,https://bpri.wwu.edu,bpri.wwu.edu,Policy Research,Multidisciplinary border policy research,High,Western Washington University policy research institute
RAND Epstein Family Veterans Policy Research Institute,https://www.rand.org,rand.org,Policy Research,Veterans policy and evidence-based interdisciplinary research,High,Research center within RAND Corporation
L&G Research and Evaluation Consulting,https://www.lgresolution.com,lgresolution.com,Program Evaluation,"Research, evaluation, grant writing, and capacity building",High,M/WBE-certified evaluation consulting firm
Japan Policy Research Institute,https://jpri.org,jpri.org,Policy Research,Japan policy and international relations research,High,Independent Japan policy research institute
MEB Research,https://mebresearch.com,mebresearch.com,Program Evaluation,Research and program evaluation,High,Portland-based research and evaluation firm
Food and Agricultural Policy Research Institute,https://fapri.missouri.edu,fapri.missouri.edu,Policy Research,Food and agricultural policy research,High,University of Missouri policy research institute
Keidanren Policy Research Institute,https://www.keidanren.or.jp,keidanren.or.jp,Policy Research,Public policy think-tank integrating business and academia,High,Japan-based policy research institute
Africa Policy Research Institute,https://afripoli.org,afripoli.org,Policy Research,Africa-focused policy research,High,Africa policy research organization
Policy Research Institute of Bangladesh,https://www.pri-bd.org,pri-bd.org,Policy Research,Nonprofit nonpartisan policy research in Bangladesh,High,Independent Bangladesh policy research institute
Mighty Catalyst,https://www.mightycatalyst.org,mightycatalyst.org,Program Evaluation,Research and evaluation consulting with human-centered design,High,Community-focused evaluation consulting organization
RUPRI Center for Rural Health Policy Analysis,https://rupri.public-health.uiowa.edu,rupri.public-health.uiowa.edu,Health Services Research,Federal and state health policy analysis for rural populations,High,University of Iowa rural health policy research center
Bionetwork Consulting,https://bionetworkconsulting.com,bionetworkconsulting.com,Statistical Consulting,Medical statistics and clinical data consulting for life sciences,High,Statistical consulting firm for pharma biotech and clinical research
Ocean Policy Research Institute,https://www.oprf.or.jp,oprf.or.jp,Policy Research,Ocean policy research and marine environmental policy,High,Japan-based ocean policy research institute
Health Services and Policy Research Institute,https://healthsci.queensu.ca/research/hsqri,healthsci.queensu.ca,Health Services Research,Health services and policy research including rehabilitation,High,Queen's University health policy research institute
Porsesh Policy Research Institute,https://prresearch.us,prresearch.us,Policy Research,Immigrant integration and community policy research,High,Policy research institute focused on immigrant communities
Child and Adolescent Policy Research Institute,https://education.utsa.edu/centers/capri,education.utsa.edu,Policy Research,Child and adolescent policy research,High,University of Texas at San Antonio policy research center
Criminal Justice Policy Research Institute,https://www.pdx.edu/criminology-criminal-justice/cjpri,pdx.edu,Policy Research,Criminal justice policy research,High,Portland State University policy research hub
IMPRI Impact and Policy Research Institute,https://www.impriindia.com,impriindia.com,Policy Research,Impact and policy research,High,India-based impact and policy research institute
SPRI Global,https://spriglobal.org,spriglobal.org,Social Science Research,Social policy research connecting theory evidence and policy,High,Belgium-based not-for-profit social policy research institute
Palestine Economic Policy Research Institute,https://mas.ps,mas.ps,Policy Research,Palestine economic policy research,High,Palestinian economic policy research institute
New Zealand Policy Research Institute,https://nzpri.aut.ac.nz,nzpri.aut.ac.nz,Policy Research,Migrant and refugee health policy research,High,Auckland University of Technology policy research institute
Institute for Policy Research Northwestern University,https://ipr.northwestern.edu,ipr.northwestern.edu,Policy Research,Interdisciplinary public policy and social science research,High,Northwestern University public policy research institute
Economic Policy Research Institute,https://epri.org.za,epri.org.za,Policy Research,Economic policy and development research in South Africa,High,Cape Town-based economic policy research institute
Nation Evaluation Consulting,https://nationconsult.com,nationconsult.com,Program Evaluation,Evaluation and strategic consulting for organizational programs,High,Program evaluation consulting firm
Policy Research Institute Japan,https://policy-ri.jp,policy-ri.jp,Policy Research,International policy research partnerships and Japanese policy,High,Atsumi and Sakai Policy Research Institute
Homelessness Policy Research Institute,https://hpri.usc.edu,hpri.usc.edu,Policy Research,Homelessness policy housing and social services research,High,USC-based homelessness policy research institute
Professional Data Analysts,https://pdastats.com,pdastats.com,Statistical Consulting,"Program evaluation, data collection, analysis, and statistical consulting",High,Full-service program evaluation and statistical consulting firm
